site_no,year,value,count
251957080312801,1995,-0.9255555555555556,9
252007080335701,1984,2.5650000000000004,2
252007080335701,1985,2.3475,12
252007080335701,1986,2.1675,4
252007080335701,1990,3.056,5
252007080335701,1991,2.33,4
252007080335701,1992,2.3739999999999997,5
252007080335701,1993,1.8820000000000001,5
252007080335701,1994,2.0658333333333334,12
252007080335701,1995,1.9633333333333332,9
252007080335701,2003,1.8557142857142856,7
252007080335701,2004,2.576363636363636,11
252007080335701,2005,2.1475,8
252007080335701,2006,2.2755555555555556,9
252007080335701,2007,2.36,14
252007080335701,2008,2.33,13
252007080335701,2009,2.3725,12
252007080335701,2010,2.072857142857143,7
252007080335701,2011,2.315714285714286,7
252007080335701,2012,2.1559999999999997,5
252007080335701,2013,1.907142857142857,7
252007080335701,2014,2.0683333333333334,6
252007080335701,2015,2.144285714285714,7
252007080335701,2016,1.61375,8
252007080335701,2017,1.9749999999999999,6
252007080335701,2018,1.9866666666666666,6
252007080335701,2019,1.95,6
252007080335701,2020,1.754,5
252007080335701,2021,2.111875,16
252007080335701,2022,1.7109999999999999,10
252007080335701,2023,1.7854545454545454,11
252007080335701,2024,1.6125,8
252007080335701,2025,2.776,5
252014080312801,1984,-0.56,2
252014080312801,1985,-0.6375000000000001,12
252014080312801,1986,-0.65,4
252014080312801,1990,-0.18800000000000003,5
252014080312801,1991,-0.576,5
252014080312801,1992,-1.0599999999999998,6
252014080312801,1993,-0.9285714285714286,7
252014080312801,1994,-0.7799999999999999,12
252014080312801,1995,-1.0066666666666668,9
252027080293701,1985,2.7258333333333336,12
252027080293701,1986,2.5,4
252027080293701,1990,3.3850000000000002,4
252027080293701,1991,3.5300000000000002,2
252027080293701,1993,2.9899999999999998,7
252027080293701,1994,2.793333333333333,12
252027080293701,1995,2.7555555555555555,9
252036080293501,2020,1.9633333333333336,3
252036080293501,2021,1.8575,4
252036080293501,2022,1.752,10
252036080293501,2023,1.6475,12
252036080293501,2024,1.6015384615384616,13
252036080293501,2025,2.022222222222222,9
252042080205201,2011,1.83,1
252042080205201,2012,2.09,1
252042080205201,2013,1.62,1
252042080205201,2014,1.98,1
252042080205201,2015,2.52,1
252042080205201,2016,2.25,1
252042080205201,2017,2.37,1
252042080205201,2018,2.23,1
252042080205201,2019,2.08,1
252042080205201,2020,2.47,1
252042080205201,2021,2.39,1
252042080205201,2022,2.04,1
252042080205201,2023,2.11,1
252042080205201,2024,2.35,2
252042080205201,2025,2.25,1
252100080242902,1974,-32.37,1
252100080242902,1975,-32.57,1
252100080242902,1976,-32.17,1
252100080242902,1977,-33.37,1
252100080242903,1974,-26.37,1
252100080242903,1975,-27.27,1
252100080242903,1976,-31.47,1
252100080242903,1977,-33.07,1
252115080293701,2015,0.71,1
252115080293701,2016,0.6699999999999999,6
252115080293701,2017,0.74,7
252115080293701,2018,0.81,9
252115080293701,2019,0.79,5
252115080293701,2020,0.5066666666666667,3
